vintage_year,report_date,capital_called_period,distributions_period,cumulative_net_flow
2009,"2009-09-30 00:00:00",0,0,0
2009,"2009-12-31 00:00:00",6548413,22029,-6526384
2009,"2010-03-31 00:00:00",59794722,4978409,-61342697
2009,"2010-06-30 00:00:00",13386362,0,-74729059
2009,"2010-09-30 00:00:00",75930150,29094615,-121564594
2009,"2010-12-31 00:00:00",20982409,1072676,-141474327
2009,"2011-03-31 00:00:00",16947890,13702781,-144719436
2009,"2011-06-30 00:00:00",47427746,6999869,-185147313
2009,"2011-09-30 00:00:00",122148071,6351786,-300943598
2009,"2011-12-31 00:00:00",14308563,2362298,-312889863
2009,"2012-03-31 00:00:00",3050857,405130,-315535590
2009,"2012-06-30 00:00:00",9260725,12237825,-312558490
2009,"2012-09-30 00:00:00",34231276,32376397,-314413369
2009,"2012-12-31 00:00:00",24267397,22189151,-316491615
2009,"2013-03-31 00:00:00",6766770,28014735,-295243650
2009,"2013-06-30 00:00:00",35804657,15955684,-315092623
2009,"2013-09-30 00:00:00",26609194,28718468,-312983349
2009,"2013-12-31 00:00:00",7642361,35264221,-285361489
2009,"2014-03-31 00:00:00",4143761,52069474,-237435776
2009,"2014-06-30 00:00:00",52637014,57924120,-232148670
2009,"2014-09-30 00:00:00",5625000,8761519,-229012151
2009,"2014-12-31 00:00:00",11500106,58198556,-182313701
2009,"2015-03-31 00:00:00",23434244,25076598,-180671347
2009,"2015-06-30 00:00:00",8142651,94903381,-93910617
2009,"2015-09-30 00:00:00",9334944,28522506,-74723055
2009,"2015-12-31 00:00:00",6154231,11621663,-69255623
2009,"2016-03-31 00:00:00",4125000,34633641,-38746982
2009,"2016-06-30 00:00:00",0,28177778,-10569204
2009,"2016-09-30 00:00:00",2301963,25538324,12667157
2009,"2016-12-31 00:00:00",8357128,11155909,15465938
2009,"2017-03-31 00:00:00",1295062,20259241,34430117
2009,"2017-06-30 00:00:00",7124630,19073873,46379360
2009,"2017-09-30 00:00:00",4573442,21368041,63173959
2009,"2017-12-31 00:00:00",3337399,24567378,84403938
2009,"2018-03-31 00:00:00",1985623,22393732,104812047
2009,"2018-06-30 00:00:00",253542,35464756,140023261
2009,"2018-09-30 00:00:00",750000,31809368,171082629
2009,"2018-12-31 00:00:00",500000,3130346,173712975
2009,"2019-03-31 00:00:00",600440,2410847,175523382
2009,"2019-06-30 00:00:00",2051238,20110604,193582748
2009,"2019-09-30 00:00:00",827543,1084229,193839434
2009,"2019-12-31 00:00:00",6729343,3625428,190735519
2009,"2020-03-31 00:00:00",1390188,3176879,192522210
2009,"2020-06-30 00:00:00",662036,2194528,194054702
2009,"2020-09-30 00:00:00",0,1626345,195681047
2009,"2020-12-31 00:00:00",5644055,4995050,195032042
2009,"2021-03-31 00:00:00",0,1379928,196411970
2009,"2021-06-30 00:00:00",0,5504621,201916591
2010,"2010-03-31 00:00:00",0,0,0
2010,"2010-09-30 00:00:00",22500000,0,-22500000
2010,"2010-12-31 00:00:00",10250000,0,-32750000
2010,"2011-03-31 00:00:00",5979579,3750000,-34979579
2010,"2011-06-30 00:00:00",35297814,0,-70277393
2010,"2011-09-30 00:00:00",48342800,0,-118620193
2010,"2011-12-31 00:00:00",37633698,0,-156253891
2010,"2012-03-31 00:00:00",6405593,3750000,-158909484
2010,"2012-06-30 00:00:00",26605656,26020,-185489120
2010,"2012-09-30 00:00:00",9366163,0,-194855283
2010,"2012-12-31 00:00:00",32442792,0,-227298075
2010,"2013-03-31 00:00:00",3027902,19950290,-210375687
2010,"2013-06-30 00:00:00",7090186,4500000,-212965873
2010,"2013-09-30 00:00:00",36273109,7058716,-242180266
2010,"2013-12-31 00:00:00",28607811,5250000,-265538077
2010,"2014-03-31 00:00:00",6689015,14363734,-257863358
2010,"2014-06-30 00:00:00",13850824,26812894,-244901288
2010,"2014-09-30 00:00:00",26421779,13983228,-257339839
2010,"2014-12-31 00:00:00",23178330,26036437,-254481732
2010,"2015-03-31 00:00:00",17140813,3980155,-267642390
2010,"2015-06-30 00:00:00",14366169,3942769,-278065790
2010,"2015-09-30 00:00:00",5226808,16230046,-267062552
2010,"2015-12-31 00:00:00",606979,21421940,-246247591
2010,"2016-03-31 00:00:00",5625000,2426718,-249445873
2010,"2016-06-30 00:00:00",3283078,32911112,-219817839
2010,"2016-09-30 00:00:00",3621758,10063525,-213376072
2010,"2016-12-31 00:00:00",9514571,17155070,-205735573
2010,"2017-03-31 00:00:00",11042741,11168944,-205609370
2010,"2017-06-30 00:00:00",790469,28808875,-177590964
2010,"2017-09-30 00:00:00",398305,21190250,-156799019
2010,"2017-12-31 00:00:00",1202305,33514050,-124487274
2010,"2018-03-31 00:00:00",569091,26932595,-98123770
2010,"2018-06-30 00:00:00",1545292,30585524,-69083538
2010,"2018-09-30 00:00:00",500000,5322601,-64260937
2010,"2018-12-31 00:00:00",823500,10198525,-54885912
2010,"2019-03-31 00:00:00",939641,15697609,-40127944
2010,"2019-06-30 00:00:00",763787,11741656,-29150075
2010,"2019-09-30 00:00:00",455783,22880783,-6725075
2010,"2019-12-31 00:00:00",455469,27352455,20171911
2010,"2020-03-31 00:00:00",550506,4675382,24296787
2010,"2020-06-30 00:00:00",1302039,5850415,28845163
2010,"2020-09-30 00:00:00",699179,30955877,59101861
2010,"2020-12-31 00:00:00",1753256,41428046,98776651
2010,"2021-03-31 00:00:00",2304700,42507585,138979536
2010,"2021-06-30 00:00:00",75000,20481553,159386089
2011,"2011-03-31 00:00:00",0,0,0
2011,"2011-06-30 00:00:00",10838116,0,-10838116
2011,"2011-09-30 00:00:00",9539560,52786,-20324890
2011,"2011-12-31 00:00:00",148570089,0,-168894979
2011,"2012-03-31 00:00:00",52178746,5899596,-215174129
2011,"2012-06-30 00:00:00",129014516,5509351,-338679294
2011,"2012-09-30 00:00:00",129236867,32858,-467883303
2011,"2012-12-31 00:00:00",201007879,28862148,-640029034
2011,"2013-03-31 00:00:00",43989877,11663578,-672355333
2011,"2013-06-30 00:00:00",61635661,23755296,-710235698
2011,"2013-09-30 00:00:00",86875521,24590324,-772520895
2011,"2013-12-31 00:00:00",77587293,40313264,-809794924
2011,"2014-03-31 00:00:00",237662081,15855562,-1031601443
2011,"2014-06-30 00:00:00",143687130,31624788,-1143663785
2011,"2014-09-30 00:00:00",89633745,97983891,-1135313639
2011,"2014-12-31 00:00:00",115695649,39327945,-1211681343
2011,"2015-03-31 00:00:00",87912574,77699393,-1221894524
2011,"2015-06-30 00:00:00",36187981,209972957,-1048109548
2011,"2015-09-30 00:00:00",66960537,67458712,-1047611373
2011,"2015-12-31 00:00:00",96981367,124394712,-1020198028
2011,"2016-03-31 00:00:00",119593024,144174198,-995616854
2011,"2016-06-30 00:00:00",105675211,29710866,-1071581199
2011,"2016-09-30 00:00:00",38868342,51804530,-1058645011
2011,"2016-12-31 00:00:00",53196646,177426548,-934415109
2011,"2017-03-31 00:00:00",55805251,91985675,-898234685
2011,"2017-06-30 00:00:00",23292425,139468626,-782058484
2011,"2017-09-30 00:00:00",18360603,145943093,-654475994
2011,"2017-12-31 00:00:00",17155255,275507086,-396124163
2011,"2018-03-31 00:00:00",5536068,168634075,-233026156
2011,"2018-06-30 00:00:00",5078551,241800234,3695527
2011,"2018-09-30 00:00:00",7594841,94519949,90620635
2011,"2018-12-31 00:00:00",8058488,115431138,197993285
2011,"2019-03-31 00:00:00",2642793,131620669,326971161
2011,"2019-06-30 00:00:00",15681660,112619933,423909434
2011,"2019-09-30 00:00:00",5819708,110604237,528693963
2011,"2019-12-31 00:00:00",5510250,312523624,835707337
2011,"2020-03-31 00:00:00",22387417,270414542,1083734462
2011,"2020-06-30 00:00:00",3776005,73584342,1153542799
2011,"2020-09-30 00:00:00",3002276,136057057,1286597580
2011,"2020-12-31 00:00:00",2413103,404179964,1688364441
2011,"2021-03-31 00:00:00",2964173,92933296,1778333564
2011,"2021-06-30 00:00:00",4141117,63752114,1837944561
2012,"2012-06-30 00:00:00",0,0,0
2012,"2012-09-30 00:00:00",77610829,760445,-76850384
2012,"2012-12-31 00:00:00",100000777,1651873,-175199288
2012,"2013-03-31 00:00:00",25034536,1694642,-198539182
2012,"2013-06-30 00:00:00",68324664,6063277,-260800569
2012,"2013-09-30 00:00:00",212577503,4193840,-469184232
2012,"2013-12-31 00:00:00",233692707,1935188,-700941751
2012,"2014-03-31 00:00:00",167839112,33178845,-835602018
2012,"2014-06-30 00:00:00",250800517,24786665,-1061615870
2012,"2014-09-30 00:00:00",225940422,31270792,-1256285500
2012,"2014-12-31 00:00:00",170465144,59588126,-1367162518
2012,"2015-03-31 00:00:00",105875348,51021255,-1422016611
2012,"2015-06-30 00:00:00",237505155,83886616,-1575635150
2012,"2015-09-30 00:00:00",199527582,137179475,-1637983257
2012,"2015-12-31 00:00:00",239406098,122808267,-1754581088
2012,"2016-03-31 00:00:00",75132738,36309075,-1793404751
2012,"2016-06-30 00:00:00",157996029,104835625,-1846565155
2012,"2016-09-30 00:00:00",211944748,105945914,-1952563989
2012,"2016-12-31 00:00:00",165124944,219943245,-1897745688
2012,"2017-03-31 00:00:00",157109317,133852000,-1921003005
2012,"2017-06-30 00:00:00",56734329,209044997,-1768692337
2012,"2017-09-30 00:00:00",52725402,182918759,-1638498980
2012,"2017-12-31 00:00:00",91629919,337195770,-1392933129
2012,"2018-03-31 00:00:00",57905256,175236529,-1275601856
2012,"2018-06-30 00:00:00",76055790,255854298,-1095803348
2012,"2018-09-30 00:00:00",21157036,314796787,-802163597
2012,"2018-12-31 00:00:00",25076744,137914068,-689326273
2012,"2019-03-31 00:00:00",29522236,137117331,-581731178
2012,"2019-06-30 00:00:00",17650781,307940128,-291441831
2012,"2019-09-30 00:00:00",30583061,169267903,-152756989
2012,"2019-12-31 00:00:00",21857987,245132377,70517401
2012,"2020-03-31 00:00:00",6698899,146974823,210793325
2012,"2020-06-30 00:00:00",19987353,60914177,251720149
2012,"2020-09-30 00:00:00",23356261,191253238,419617126
2012,"2020-12-31 00:00:00",13458625,236736365,642894866
2012,"2021-03-31 00:00:00",38654012,100041472,704282326
2012,"2021-06-30 00:00:00",5758052,157842924,856367198
2013,"2013-03-31 00:00:00",0,0,0
2013,"2013-06-30 00:00:00",37473975,0,-37473975
2013,"2013-09-30 00:00:00",20824873,0,-58298848
2013,"2013-12-31 00:00:00",80888717,3279456,-135908109
2013,"2014-03-31 00:00:00",119766213,3301898,-252372424
2013,"2014-06-30 00:00:00",236238547,165206,-488445765
2013,"2014-09-30 00:00:00",286326107,26644572,-748127300
2013,"2014-12-31 00:00:00",158083247,3277895,-902932652
2013,"2015-03-31 00:00:00",91517468,25949199,-968500921
2013,"2015-06-30 00:00:00",139395406,16767029,-1091129298
2013,"2015-09-30 00:00:00",174313601,72189303,-1193253596
2013,"2015-12-31 00:00:00",77728323,6744920,-1264236999
2013,"2016-03-31 00:00:00",109304498,48116305,-1325425192
2013,"2016-06-30 00:00:00",154046474,111853678,-1367617988
2013,"2016-09-30 00:00:00",134125148,27188335,-1474554801
2013,"2016-12-31 00:00:00",104169538,94686688,-1484037651
2013,"2017-03-31 00:00:00",169085782,86815362,-1566308071
2013,"2017-06-30 00:00:00",152132469,105641211,-1612799329
2013,"2017-09-30 00:00:00",93706427,98278684,-1608227072
2013,"2017-12-31 00:00:00",198124866,312978294,-1493373644
2013,"2018-03-31 00:00:00",156282007,32391951,-1617263700
2013,"2018-06-30 00:00:00",83360874,105818990,-1594805584
2013,"2018-09-30 00:00:00",23948156,109951513,-1508802227
2013,"2018-12-31 00:00:00",100703616,224322958,-1385182885
2013,"2019-03-31 00:00:00",12212873,187687689,-1209708069
2013,"2019-06-30 00:00:00",69304531,176876698,-1102135902
2013,"2019-09-30 00:00:00",24100563,271825213,-854411252
2013,"2019-12-31 00:00:00",20175328,213392327,-661194253
2013,"2020-03-31 00:00:00",38646819,159739175,-540101897
2013,"2020-06-30 00:00:00",19580108,83859073,-475822932
2013,"2020-09-30 00:00:00",37647012,101126819,-412343125
2013,"2020-12-31 00:00:00",19947349,213218906,-219071568
2013,"2021-03-31 00:00:00",8376483,124795947,-102652104
2013,"2021-06-30 00:00:00",30353487,217061526,84055935
2014,"2014-03-31 00:00:00",0,0,0
2014,"2014-06-30 00:00:00",12121319,7748,-12113571
2014,"2014-09-30 00:00:00",38665548,16583,-50762536
2014,"2014-12-31 00:00:00",51132901,311105,-101584332
2014,"2015-03-31 00:00:00",107873805,200000,-209258137
2014,"2015-06-30 00:00:00",136693746,4592556,-341359327
2014,"2015-09-30 00:00:00",87565874,200000,-428725201
2014,"2015-12-31 00:00:00",79894268,5291840,-503327629
2014,"2016-03-31 00:00:00",23230669,3409709,-523148589
2014,"2016-06-30 00:00:00",123366605,6689419,-639825775
2014,"2016-09-30 00:00:00",60084882,200000,-699710657
2014,"2016-12-31 00:00:00",107020916,14611084,-792120489
2014,"2017-03-31 00:00:00",84963819,42103805,-834980503
2014,"2017-06-30 00:00:00",69808920,9315273,-895474150
2014,"2017-09-30 00:00:00",199580551,80070118,-1014984583
2014,"2017-12-31 00:00:00",66491689,20619008,-1060857264
2014,"2018-03-31 00:00:00",23280573,78774070,-1005363767
2014,"2018-06-30 00:00:00",10207723,119184699,-896386791
2014,"2018-09-30 00:00:00",20167704,115382827,-801171668
2014,"2018-12-31 00:00:00",74005770,55100472,-820076966
2014,"2019-03-31 00:00:00",33268100,40940499,-812404567
2014,"2019-06-30 00:00:00",55986277,38657308,-829733536
2014,"2019-09-30 00:00:00",53690999,134768981,-748655554
2014,"2019-12-31 00:00:00",19477003,50142525,-717990032
2014,"2020-03-31 00:00:00",24491366,176762096,-565719302
2014,"2020-06-30 00:00:00",37205895,137582348,-465342849
2014,"2020-09-30 00:00:00",29495006,95809435,-399028420
2014,"2020-12-31 00:00:00",21192540,209372614,-210848346
2014,"2021-03-31 00:00:00",-3672287,128145592,-79030467
2014,"2021-06-30 00:00:00",12879544,89943959,-1966052
2015,"2015-03-31 00:00:00",0,0,0
2015,"2015-06-30 00:00:00",23100335,4433944,-18666391
2015,"2015-09-30 00:00:00",59874065,401231,-78139225
2015,"2015-12-31 00:00:00",34700000,2416977,-110422248
2015,"2016-03-31 00:00:00",96633258,961377,-206094129
2015,"2016-06-30 00:00:00",157548629,912591,-362730167
2015,"2016-09-30 00:00:00",104344658,3288916,-463785909
2015,"2016-12-31 00:00:00",201238022,28568551,-636455380
2015,"2017-03-31 00:00:00",116989610,28033625,-725411365
2015,"2017-06-30 00:00:00",237170299,9656570,-952925094
2015,"2017-09-30 00:00:00",257059200,71522253,-1138462041
2015,"2017-12-31 00:00:00",193604073,18388713,-1313677401
2015,"2018-03-31 00:00:00",187777811,13975196,-1487480016
2015,"2018-06-30 00:00:00",152702167,77597758,-1562584425
2015,"2018-09-30 00:00:00",185633763,70524438,-1677693750
2015,"2018-12-31 00:00:00",126579331,60847368,-1743425713
2015,"2019-03-31 00:00:00",122088520,75638025,-1789876208
2015,"2019-06-30 00:00:00",127148231,116683388,-1800341051
2015,"2019-09-30 00:00:00",133330956,60371880,-1873300127
2015,"2019-12-31 00:00:00",84859819,242275323,-1715884623
2015,"2020-03-31 00:00:00",52131574,79042457,-1688973740
2015,"2020-06-30 00:00:00",36980343,95163703,-1630790380
2015,"2020-09-30 00:00:00",28611313,153959356,-1505442337
2015,"2020-12-31 00:00:00",64244723,249385868,-1320301192
2015,"2021-03-31 00:00:00",10981799,170835842,-1160447149
2015,"2021-06-30 00:00:00",13962701,199723156,-974686694
2016,"2016-03-31 00:00:00",0,0,0
2016,"2016-06-30 00:00:00",47198474,3992413,-43206061
2016,"2016-09-30 00:00:00",43514493,0,-86720554
2016,"2016-12-31 00:00:00",115668592,17311227,-185077919
2016,"2017-03-31 00:00:00",278427807,27874929,-435630797
2016,"2017-06-30 00:00:00",157099930,1322062,-591408665
2016,"2017-09-30 00:00:00",382969839,9453824,-964924680
2016,"2017-12-31 00:00:00",227535231,57965082,-1134494829
2016,"2018-03-31 00:00:00",106987967,860160,-1240622636
2016,"2018-06-30 00:00:00",249047099,31729745,-1457939990
2016,"2018-09-30 00:00:00",276783506,33029157,-1701694339
2016,"2018-12-31 00:00:00",267200832,33369784,-1935525387
2016,"2019-03-31 00:00:00",212611187,21102650,-2127033924
2016,"2019-06-30 00:00:00",198571397,51921695,-2273683626
2016,"2019-09-30 00:00:00",168443447,66978286,-2375148787
2016,"2019-12-31 00:00:00",69818806,106538392,-2338429201
2016,"2020-03-31 00:00:00",96460104,24050996,-2410838309
2016,"2020-06-30 00:00:00",50645718,40178309,-2421305718
2016,"2020-09-30 00:00:00",80962397,69033528,-2433234587
2016,"2020-12-31 00:00:00",56445881,189872907,-2299807561
2016,"2021-03-31 00:00:00",10100762,283908090,-2026000233
2016,"2021-06-30 00:00:00",29879711,152136400,-1903743544
2017,"2017-03-31 00:00:00",0,0,0
2017,"2017-06-30 00:00:00",41251520,0,-41251520
2017,"2017-09-30 00:00:00",111087226,0,-152338746
2017,"2017-12-31 00:00:00",226567092,0,-378905838
2017,"2018-03-31 00:00:00",287915212,1715060,-665105990
2017,"2018-06-30 00:00:00",392684978,2098680,-1055692288
2017,"2018-09-30 00:00:00",101243188,4896859,-1152038617
2017,"2018-12-31 00:00:00",340711559,8225785,-1484524391
2017,"2019-03-31 00:00:00",239587198,1526518,-1722585071
2017,"2019-06-30 00:00:00",174180116,11973045,-1884792142
2017,"2019-09-30 00:00:00",181072442,200167,-2065664417
2017,"2019-12-31 00:00:00",224983136,41957221,-2248690332
2017,"2020-03-31 00:00:00",103240023,1007807,-2350922548
2017,"2020-06-30 00:00:00",107684167,55367396,-2403239319
2017,"2020-09-30 00:00:00",72302237,57397781,-2418143775
2017,"2020-12-31 00:00:00",182575323,140752571,-2459966527
2017,"2021-03-31 00:00:00",56576865,172226217,-2344317175
2017,"2021-06-30 00:00:00",122873804,281525667,-2185665312
2018,"2018-03-31 00:00:00",0,0,0
2018,"2018-06-30 00:00:00",0,10400000,10400000
2018,"2018-09-30 00:00:00",179610442,229015,-168981427
2018,"2018-12-31 00:00:00",172011050,222089,-340770388
2018,"2019-03-31 00:00:00",313877988,57143163,-597505213
2018,"2019-06-30 00:00:00",434181107,238412,-1031447908
2018,"2019-09-30 00:00:00",117715729,-34720294,-1183883931
2018,"2019-12-31 00:00:00",257616981,50571986,-1390928926
2018,"2020-03-31 00:00:00",229286282,39436113,-1580779095
2018,"2020-06-30 00:00:00",303157804,14529261,-1869407638
2018,"2020-09-30 00:00:00",430931247,11833624,-2288505261
2018,"2020-12-31 00:00:00",233663864,94794802,-2427374323
2018,"2021-03-31 00:00:00",305996387,96097496,-2637273214
2018,"2021-06-30 00:00:00",199862993,270986275,-2566149932
2019,"2019-03-31 00:00:00",0,0,0
2019,"2019-06-30 00:00:00",21282975,187680,-21095295
2019,"2019-09-30 00:00:00",174193900,1513242,-193775953
2019,"2019-12-31 00:00:00",503882928,1075994,-696582887
2019,"2020-03-31 00:00:00",340199069,31261214,-1005520742
2019,"2020-06-30 00:00:00",401750308,17356504,-1389914546
2019,"2020-09-30 00:00:00",584532951,21339680,-1953107817
2019,"2020-12-31 00:00:00",556508859,71110627,-2438506049
2019,"2021-03-31 00:00:00",314445917,124293480,-2628658486
2019,"2021-06-30 00:00:00",582475926,121276654,-3089857758
2020,"2020-03-31 00:00:00",0,0,0
2020,"2020-06-30 00:00:00",61425899,0,-61425899
2020,"2020-09-30 00:00:00",87320865,4263871,-144482893
2020,"2020-12-31 00:00:00",466777347,227767,-611032473
2020,"2021-03-31 00:00:00",375055483,11329692,-974758264
2020,"2021-06-30 00:00:00",336068559,23134435,-1287692388
2021,"2021-03-31 00:00:00",0,0,0
2021,"2021-06-30 00:00:00",180658630,849581,-179809049
