report_date,assigned_unid,fund_name,initial_investment_date,commitment,contributions,unfunded_commitment,current_market_value,distributions,total_value,tvpi,net_benefit,irr,strategy,rn
"2021-06-30 00:00:00",0OhJnjbEk9uP0J2Ar3pz,"Endeavour Capital Fund VI, L.P.","2011-12-01 00:00:00",95000000,92769883,5570827,76755498,100266779,177022277,1.9,84252394,0.129,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",0rfggss424g7c1rbhxux,"Affinity Asia Pacific Fund IV, L.P.","2013-03-22 00:00:00",300000000,305447065,45366180,183100817,279440419,462541236,1.5,157094171,0.1521,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",0ri4vpbc8xitqiw9a7b8,"Insight Venture Partners VIII, L.P.","2013-07-10 00:00:00",150000000,158867069,3071261,162357043,320712026,483069069,3,324201999,0.2243,"Growth Equity",1
"2021-06-30 00:00:00",0y1iprqp200ulazb5mjq,"Silver Lake Partners V, L.P.","2018-06-12 00:00:00",540000000,497889705,79297004,765925915,99329853,865255768,1.7,367366063,0.352,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",12s33xgz5jxwy8v5wi5c,"Insight Partners XI, L.P.","2020-03-25 00:00:00",200000000,159000000,41000000,250799157,19238,250818395,1.6,91818395,0.9988,"Growth Equity",1
"2021-06-30 00:00:00",14f1f2egxqjhydex1i2w,"Endeavour Capital Fund V, L.P. - Secondary Purchase","2020-12-31 00:00:00",7686196,148465,9350,305996,0,305996,2.1,157531,1.0611,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",1b15u81m10glzmdd2vc0,"KKR Asian Fund III, L.P.","2018-02-12 00:00:00",500000000,382702024,152890696,557793216,86740245,644533461,1.7,261831437,0.3447,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1bhqetsbpjlm6xbie933,"Warburg Pincus Global Growth, L.P.","2019-03-26 00:00:00",750000000,507750000,242250000,603168631,12655751,615824382,1.2,108074382,0.2633,"Growth Equity",1
"2021-06-30 00:00:00",1hrol9krxp6xqlgyu94a,"Permira VI, L.P.","2017-01-11 00:00:00",368543150,325063397,85241982,583097764,93068124,676165889,2.1,351102492,0.3071,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1oapg24mclvcqvnze6dk,"Affinity Asia Pacific Fund V, L.P.","2018-12-11 00:00:00",350000000,74952380,281807792,95037446,7423917,102461363,1.4,27508983,0.1536,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",1rmffc6texfebq4n7ra4,"KKR Americas Fund XII, L.P.","2017-10-31 00:00:00",750000000,571911755,217456392,1141521447,63872761,1205394208,2.1,633482453,0.4298,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",1ts069ug8kvsp58lpbpm,"Sequoia Global Growth Fund III - Endurance Partners, L.P.","2018-06-11 00:00:00",350000000,245353516,104646484,486023073,11058864,497081937,2,251728421,0.6227,"Growth Equity",1
"2021-06-30 00:00:00",29uzxs9542lntiz31r0a,"Oaktree Opportunities Fund IX, L.P.","2013-03-26 00:00:00",400000000,400000000,0,288421671,248704502,537126173,1.3,137126173,0.0517,"Distressed Debt",1
"2021-06-30 00:00:00",2gsdadg826vsvh96yydj,"GI Partners Fund IV, L.P.","2014-01-24 00:00:00",150000000,157511128,2124034,170267488,138738400,309005888,2,151494760,0.1713,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",2pf202x8sn2mltpotabw,"Riverside Capital Appreciation Fund VI, L.P.","2013-12-06 00:00:00",150000000,155845391,16669148,83641353,148287303,231928656,1.5,76083265,0.1184,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",395fdc2lufai9sq18foo,"Insight Venture Partners Growth-Buyout Coinvestment Fund, L.P.","2015-05-11 00:00:00",50000000,48009467,6261601,130593285,61920368,192513653,4,144504186,0.3864,"Growth Equity",1
"2021-06-30 00:00:00",3g99z9xas3ihgxua8lt2,"Francisco Partners VI, L.P.","2021-01-26 00:00:00",300000000,33750000,266250000,38163163,0,38163163,1.1,4413163,0.2089,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",3oR7442vcPzZmIT7uDur,"GTCR Fund X, L.P.","2011-07-18 00:00:00",300000000,314559474,24008619,28480004,607616197,636096201,2,321536727,0.2128,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",3ypqxny1e4rkjsdta2bc,"Francisco Partners V, L.P.","2018-05-29 00:00:00",200000000,181500000,18500000,276947925,0,276947925,1.5,95447925,0.251,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",43imq1xnyo7ntl4rkfdm,"Silver Lake III SL SPV-2, L.P.","2019-02-22 00:00:00",63294745,63637662,0,48815364,41022197,89837561,1.4,26199899,0.3486,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",4olnlu69vcgucqzfo0tl,"KKR North America Fund XI, L.P. - Second Commitment","2013-07-26 00:00:00",250000000,288099308,13118725,219880703,379447164,599327867,2.1,311228559,0.195,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",4qtjvohm53x1w1q8ulaw,"Menlo Ventures XIV, L.P.","2017-10-30 00:00:00",100000000,95000000,5000000,167212376,30813250,198025626,2.1,103025626,0.4219,"Venture Capital",1
"2021-06-30 00:00:00",4sipy3ra3bz0w8v3uv5p,"EIG Energy Fund XVI, L.P.","2013-12-13 00:00:00",200000000,193244773,52072029,121716604,104727284,226443888,1.2,33199115,0.0476,"Special Situation",1
"2021-06-30 00:00:00",51ikvek9d9bwscyt82qb,"Nordic Capital Fund VIII, L.P.","2013-06-07 00:00:00",232209100,476652786,40067114,394690920,465832221,860523140,1.8,383870355,0.1747,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",5rbd4w103vpkxcslbr9j,"TPG Growth V, L.P.","2021-02-05 00:00:00",400000000,161104294,239519967,200807158,820701,201627859,1.3,40523565,0.33,"Growth Equity",1
"2021-06-30 00:00:00",68vup4so9c5i7vahgcbh,"PAG Asia II, L.P.","2016-05-05 00:00:00",150000000,125422222,39597482,235228081,15879442,251107523,2,125685301,0.213,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",691xyr4p729az9ss34ja,"Permira V, L.P.","2014-06-12 00:00:00",379049477,382361418,18269870,617260201,614852241,1232112442,3.2,849751024,0.2686,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",6be2acskb2kfvz2lebnk,"GTCR Fund XI, L.P.","2014-09-02 00:00:00",350000000,336226646,23145527,808989100,599303431,1408292531,4.2,1072065885,0.4416,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",6hjkr520gpckojyg2hxx,"Rhone Partners V, L.P.","2015-07-16 00:00:00",170225536,176890783,39935648,232245130,65700846,297945976,1.7,121055193,0.2251,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",6qwuxaenhssrxkse5zms,"Banc Fund X, L.P.","2018-05-16 00:00:00",100318182,98311818,2006364,117465522,0,117465522,1.2,19153703,0.1331,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",6yrwwtyudjwmijqnmflw,"Towerbrook Investors IV, L.P.","2013-10-01 00:00:00",200000000,158882573,77987151,252108422,82778443,334886865,2.1,176004292,0.2675,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",74zunwecm8gj770d6vj9,"Menlo Special Opportunities Fund II, L.P.","2019-03-15 00:00:00",200000000,149894315,50105685,189542473,10255557,199798030,1.3,49903715,0.351,"Venture Capital",1
"2021-06-30 00:00:00",7jkptwnj2s3f3gxm7s0g,"Fisher Lynch Co-Investment Partnership III, L.P.","2017-02-08 00:00:00",700000000,711358332,8821692,1150479681,188316549,1338796230,1.9,627437898,0.2356,Co-Investment,1
"2021-06-30 00:00:00",8drnxekyq0lf26i5agfm,"Warburg Pincus Private Equity XII, L.P.","2015-12-21 00:00:00",700000000,691007139,9450000,1040578457,263986388,1304564845,1.9,613557706,0.223,"Growth Equity",1
"2021-06-30 00:00:00",8i7soxt6xsxjkcvkw1er,"FFL Capital Partners IV, L.P.","2015-03-27 00:00:00",200000000,221016961,178572783,155196968,199595590,354792558,1.6,133775597,0.17,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",8LvT2uNVkxtpONTj8zYN,"Hellman & Friedman Capital Partners VII, L.P.","2011-08-11 00:00:00",400000000,382186172,17789721,210336865,1064462072,1274798937,3.3,892612765,0.2505,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",8qz3wym0x0wksprlogl3,"Nordic Capital Fund IX, L.P.","2019-03-26 00:00:00",344772797,264936384,98152997,532857860,18316584,551174444,2.1,286238060,0.7149,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",8sbrrnuw7o55am31mmtr,"FountainVest China Growth Capital Fund II, L.P.","2013-01-02 00:00:00",150000000,163728873,17156009,55050062,201567235,256617297,1.6,92888424,0.1474,"Growth Equity",1
"2021-06-30 00:00:00",8uttvqc4bm5byh2zydeu,"Sixth Street Opportunities Partners II, L.P.","2012-10-09 00:00:00",200000000,141251839,59379069,11796421,231422365,243218786,1.7,101966947,0.1644,"Distressed Debt",1
"2021-06-30 00:00:00",985qbdt8q2p71bi6fiei,"KKR North America Fund XI, L.P.","2012-11-15 00:00:00",500000000,572972095,22995933,416469889,767300943,1183770832,2.1,610798737,0.1956,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",99fzd8q8rocmlqdqcg4a,"BGH Capital Fund I, L.P.","2019-09-18 00:00:00",259276126,77771252,182794501,102305762,1289627,103595389,1.3,25824137,0.4119,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",9j531p09rmveck59zzkb,"TCV XI, L.P.","2021-02-01 00:00:00",250000000,46921766,203078234,44184413,0,44184413,0.9,-2737353,-0.1546,"Growth Equity",1
"2021-06-30 00:00:00",9lpdezgrkr94fmd1j1k8,"Bridgepoint Europe V, L.P.","2016-02-08 00:00:00",253634349,238005533,22194632,268992646,154243621,423236267,1.8,185230734,0.1853,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",9tz00qf04ffng08qx0ou,"TSSP Opportunities Partners IV, L.P.","2019-01-18 00:00:00",200000000,114221412,95402634,128635547,14918063,143553610,1.3,29332198,0.2255,"Distressed Debt",1
"2021-06-30 00:00:00",9xujicuan8fvzukecv84,"Bridgepoint Europe VI, L.P.","2019-04-01 00:00:00",406482586,210518949,195963637,226543098,30912403,257455501,1.2,46936552,0.2175,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",aAlnyNv2XO1BBfCSrc68,"Oaktree Principal Fund V, L.P.","2010-02-23 00:00:00",150000000,139657552,7500000,46155961,121130666,167286627,1.2,27629075,0.0323,"Distressed Debt",1
"2021-06-30 00:00:00",ao0uc7ewgydhl9fezc5a,"Wellspring Capital Partners VI, L.P.","2018-04-27 00:00:00",200000000,131508866,68772409,181786052,281275,182067327,1.4,50558461,0.2519,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",axy36ox2e6pfi35saiap,"Endeavour Capital Fund VI, L.P. - Secondary Purchase","2020-12-31 00:00:00",11233671,4368627,658745,9076273,96841,9173114,2.1,4804487,1.1161,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",aylghy7aJ31u4uievmE3,"Roark Capital Partners III, L.P.","2012-09-26 00:00:00",125000000,125166200,19815577,250937613,76166047,327103659,2.6,201937459,0.1817,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",b58cfzk9l1j20taynttv,"Blackstone Capital Partners Asia, L.P.","2018-09-17 00:00:00",200000000,105775501,109815386,252908984,12133665,265042649,2.5,159267148,0.6529,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",b689wewk4by9lg73n1us,"TCV VIII, L.P.","2014-02-03 00:00:00",150000000,130762533,19237472,341191390,19637115,360828505,2.8,230065972,0.2034,"Growth Equity",1
"2021-06-30 00:00:00",bd554pn4s7fxbg10brnj,"Bridgepoint Europe IV, L.P. (Secondary Purchase)","2016-02-25 00:00:00",33490789,30834805,3682902,9780182,30446764,40226946,1.3,9392140,0.1074,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",by97mo3nu2vshacx3qje,"New Mountain Partners V, L.P.","2017-11-29 00:00:00",200000000,181228151,18803295,304404733,58023550,362428283,2,181200132,0.4155,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",C3zetEvlzJt21ovRRWGM,"TA XI, L.P.","2010-07-30 00:00:00",150000000,157747140,2250000,154504230,400307497,554811727,3.5,397064587,0.2713,"Growth Equity",1
"2021-06-30 00:00:00",c4zce8u20vzby0dzbxq6,"Trident VII, L.P.","2017-10-30 00:00:00",250000000,256493742,35528906,378280139,42113248,420393387,1.6,163899645,0.2441,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",capubCRITH5v9afIHf3A,"Blackstone Capital Partners VI, L.P.","2011-01-24 00:00:00",300000000,323695230,33525680,194128177,367949331,562077508,1.7,238382278,0.1283,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",cdze690nj7kffcdkm1cq,"Riverside Capital Appreciation Fund VII, L.P.","2019-04-22 00:00:00",200000000,133148792,66851208,187958625,2389383,190348008,1.4,57199216,0.3159,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",cifnyo42584349hluzkx,"Oaktree Opportunities Fund X, L.P.","2015-07-15 00:00:00",200000000,186000000,34000000,174278639,79714338,253992977,1.4,67992977,0.0993,"Distressed Debt",1
"2021-06-30 00:00:00",codjr9ln96xcna005t7w,"Warburg Pincus Financial Sector, L.P.","2018-01-05 00:00:00",200000000,181222509,29900000,247184089,23587280,270771369,1.5,89548859,0.2604,"Growth Equity",1
"2021-06-30 00:00:00",cofg2pk41meyaethkllx,"TPG Partners VIII, L.P.","2019-10-01 00:00:00",750000000,185091287,581895573,325139002,16986860,342125862,1.8,157034575,1.0084,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",cowzqdsxptwdpanxjosg,"Apax IX USD, L.P.","2017-05-12 00:00:00",250000000,248935561,26645226,441485637,99167892,540653529,2.2,291717968,0.344,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",cq8dfbndhi3qfcqyjja4,"Tailwind Capital Partners III, L.P.","2018-09-27 00:00:00",200000000,117923935,94262809,118353029,19398984,137752013,1.2,19828078,0.124,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",crpxeu72i1nvfpami4nh,"TPG Growth IV, L.P.","2018-07-26 00:00:00",350000000,283847192,77195224,352332201,52063520,404395721,1.4,120548529,0.2091,"Growth Equity",1
"2021-06-30 00:00:00",d3wt1jxb0xxfqzy2ivop,"First Reserve Fund XIII, L.P.","2014-07-15 00:00:00",400000000,445634220,43273494,264445095,148573502,413018597,0.9,-32615623,-0.0345,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",di3bee9sjhzq4khvqfgi,"Menlo Ventures XV, L.P.","2020-11-24 00:00:00",125000000,31250000,93750000,29393857,0,29393857,0.9,-1856143,-0.0876,"Venture Capital",1
"2021-06-30 00:00:00",dna5iwnygobol42x5kof,"TA XII, L.P.","2016-02-22 00:00:00",250000000,283966685,2500000,439346268,281455745,720802013,2.5,436835327,0.4303,"Growth Equity",1
"2021-06-30 00:00:00",dq4nvjzkzop4uwvnmt4c,"Thoma Bravo Discover Fund III, L.P.","2021-06-11 00:00:00",100000000,33920682,66079318,34189229,0,34189229,1,268547,0.0079,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",e0grnt96ql3jgqauydf8,"Menlo Special Opportunities, L.P.","2016-05-13 00:00:00",131000000,131000000,0,296645577,5145183,301790760,2.3,170790760,0.2707,"Venture Capital",1
"2021-06-30 00:00:00",e3ou84r2ejrz4p2un6qb,"Cinven Sixth Fund","2017-05-24 00:00:00",288232306,270799111,35067004,440686495,66003825,506690320,1.9,235891209,0.2965,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",Ea2P6tw3Y0HiKAExsBuA,"Cinven Fifth Fund, L.P.","2012-08-28 00:00:00",229913870,246887440,11887854,107807506,329180450,436987956,1.8,190100516,0.197,"Corporate Finance/Buyout - Large",1
"2021-06-30 00:00:00",emu01req1ti8wfdz1ost,"Endeavour Capital Fund VII, L.P. - Secondary Purchase","2020-12-31 00:00:00",13285294,13173717,2068803,14892994,2282096,17175090,1.3,4001373,0.3434,"Corporate Finance/Buyout - Small",1
"2021-06-30 00:00:00",eoho1ko5izaclt5il5mj,"Francisco Partners IV, L.P.","2015-04-15 00:00:00",140000000,140830253,3570000,301199447,176903544,478102991,3.4,337272738,0.3595,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",ex23ougsr6pxa830eqzk,"Roark Capital Partners IV, L.P.","2016-07-01 00:00:00",175000000,152473286,34366152,197503413,11784198,209287611,1.4,56814325,0.0817,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",f0hx32ntdvxi8ezsuj1x,"TPG Growth III, L.P.","2015-05-06 00:00:00",300000000,318711042,44722947,323826406,256516651,580343057,1.8,261632015,0.2454,"Growth Equity",1
"2021-06-30 00:00:00",fct5frvqi22wr5njro3k,"Silver Lake Partners VI, L.P.","2021-01-06 00:00:00",750000000,175736735,574263265,220412514,0,220412514,1.3,44675779,0.4032,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",fglw116zmvfackxmhsyv,"Jade Equity Investors, L.P.","2020-04-15 00:00:00",175000000,33543811,159699729,40381463,18243540,58625003,1.7,25081192,1.0803,"Corporate Finance/Buyout - Mid",1
"2021-06-30 00:00:00",G4ohYAInydxy0EaPsT0C,"HIPEP VI-Asia Pacific Fund, L.P.","2009-03-18 00:00:00",50000000,47500000,2500000,46820416,42461469,89281885,1.9,41781885,0.1189,"Special Situation",1
"2021-06-30 00:00:00",gB4iaqV1rm4VNXSxF2Yj,"Menlo Ventures XI, L.P.","2011-07-28 00:00:00",100000000,100000000,0,168621246,259617690,428238936,4.3,328238936,0.3124,"Venture Capital",1
"2021-06-30 00:00:00",ge6edwv6lf9lccszoxnd,"Green Equity Investors VIII, L.P.","2020-10-21 00:00:00",400000000,164129571,235870429,169642152,0,169642152,1,5512581,0.0885,"Corporate Finance/Buyout - Mega",1
"2021-06-30 00:00:00",gev9ico99tb0e9k8vifz,"TPG Partners VII, L.P.","2015-09-25 00:00:00",600000000,574039816,135453064,747467070,323554252,1071021322,1.9,496981506,0.2227,"Corporate Finance/Buyout - Mega",1
